field	2.spe
 332.832	 16190
 332.835	 16190
 332.837	 16190
 332.839	 16175
 332.842	 16190
 332.844	 16175
 332.846	 16190
 332.849	 16175
 332.851	 16175
 332.853	 16190
 332.856	 16190
 332.858	 16175
 332.860	 16175
 332.863	 16175
 332.865	 16175
 332.867	 16175
 332.870	 16175
 332.872	 16190
 332.874	 16175
 332.877	 16175
 332.879	 16175
 332.881	 16175
 332.884	 16175
 332.886	 16175
 332.889	 16175
 332.891	 16175
 332.893	 16190
 332.896	 16190
 332.898	 16190
 332.900	 16190
 332.903	 16190
 332.905	 16175
 332.907	 16190
 332.910	 16190
 332.912	 16175
 332.914	 16175
 332.917	 16190
 332.919	 16190
 332.921	 16175
 332.924	 16160
 332.926	 16160
 332.928	 16175
 332.931	 16175
 332.933	 16175
 332.935	 16160
 332.938	 16175
 332.940	 16175
 332.942	 16175
 332.945	 16175
 332.947	 16175
 332.949	 16175
 332.952	 16190
 332.954	 16190
 332.956	 16190
 332.959	 16175
 332.961	 16190
 332.964	 16190
 332.966	 16190
 332.968	 16190
 332.971	 16190
 332.973	 16190
 332.975	 16190
 332.978	 16175
 332.980	 16175
 332.982	 16190
 332.985	 16190
 332.987	 16200
 332.989	 16190
 332.992	 16190
 332.994	 16190
 332.996	 16190
 332.999	 16200
 333.001	 16190
 333.003	 16200
 333.006	 16190
 333.008	 16190
 333.010	 16190
 333.013	 16190
 333.015	 16190
 333.017	 16190
 333.020	 16190
 333.022	 16190
 333.024	 16190
 333.027	 16190
 333.029	 16190
 333.032	 16190
 333.034	 16190
 333.036	 16175
 333.039	 16175
 333.041	 16175
 333.043	 16190
 333.046	 16190
 333.048	 16190
 333.050	 16190
 333.053	 16190
 333.055	 16175
 333.057	 16190
 333.060	 16150
 333.062	 16160
 333.064	 16160
 333.067	 16160
 333.069	 16160
 333.071	 16160
 333.074	 16175
 333.076	 16175
 333.078	 16175
 333.081	 16175
 333.083	 16175
 333.085	 16175
 333.088	 16175
 333.090	 16190
 333.092	 16190
 333.095	 16190
 333.097	 16190
 333.099	 16175
 333.102	 16175
 333.104	 16175
 333.107	 16175
 333.109	 16175
 333.111	 16160
 333.114	 16175
 333.116	 16175
 333.118	 16175
 333.121	 16175
 333.123	 16175
 333.125	 16160
 333.128	 16160
 333.130	 16150
 333.132	 16135
 333.135	 16150
 333.137	 16150
 333.139	 16160
 333.142	 16175
 333.144	 16175
 333.146	 16175
 333.149	 16150
 333.151	 16160
 333.153	 16150
 333.156	 16150
 333.158	 16160
 333.160	 16160
 333.163	 16160
 333.165	 16160
 333.167	 16175
 333.170	 16175
 333.172	 16160
 333.175	 16160
 333.177	 16175
 333.179	 16175
 333.182	 16175
 333.184	 16190
 333.186	 16175
 333.189	 16190
 333.191	 16190
 333.193	 16190
 333.196	 16190
 333.198	 16190
 333.200	 16190
 333.203	 16175
 333.205	 16175
 333.207	 16190
 333.210	 16190
 333.212	 16190
 333.214	 16190
 333.217	 16175
 333.219	 16175
 333.221	 16190
 333.224	 16190
 333.226	 16190
 333.228	 16190
 333.231	 16190
 333.233	 16190
 333.235	 16200
 333.238	 16230
 333.240	 16230
 333.242	 16200
 333.245	 16215
 333.247	 16200
 333.250	 16200
 333.252	 16200
 333.254	 16230
 333.257	 16200
 333.259	 16200
 333.261	 16200
 333.264	 16200
 333.266	 16190
 333.268	 16190
 333.271	 16190
 333.273	 16190
 333.275	 16190
 333.278	 16190
 333.280	 16190
 333.282	 16200
 333.285	 16200
 333.287	 16200
 333.289	 16200
 333.292	 16200
 333.294	 16215
 333.296	 16200
 333.299	 16190
 333.301	 16200
 333.303	 16190
 333.306	 16190
 333.308	 16175
 333.310	 16175
 333.313	 16190
 333.315	 16190
 333.318	 16200
 333.320	 16200
 333.322	 16200
 333.325	 16190
 333.327	 16200
 333.329	 16200
 333.332	 16190
 333.334	 16190
 333.336	 16200
 333.339	 16190
 333.341	 16215
 333.343	 16215
 333.346	 16215
 333.348	 16215
 333.350	 16200
 333.353	 16215
 333.355	 16215
 333.357	 16230
 333.360	 16230
 333.362	 16230
 333.364	 16215
 333.367	 16215
 333.369	 16200
 333.371	 16200
 333.374	 16200
 333.376	 16200
 333.378	 16215
 333.381	 16200
 333.383	 16215
 333.385	 16215
 333.388	 16200
 333.390	 16200
 333.393	 16200
 333.395	 16200
 333.397	 16215
 333.400	 16215
 333.402	 16200
 333.404	 16200
 333.407	 16200
 333.409	 16200
 333.411	 16200
 333.414	 16200
 333.416	 16200
 333.418	 16200
 333.421	 16215
 333.423	 16215
 333.425	 16215
 333.428	 16200
 333.430	 16190
 333.432	 16190
 333.435	 16190
 333.437	 16215
 333.439	 16215
 333.442	 16215
 333.444	 16215
 333.446	 16215
 333.449	 16200
 333.451	 16215
 333.453	 16230
 333.456	 16215
 333.458	 16215
 333.461	 16215
 333.463	 16200
 333.465	 16200
 333.468	 16200
 333.470	 16215
 333.472	 16200
 333.475	 16200
 333.477	 16200
 333.479	 16190
 333.482	 16190
 333.484	 16190
 333.486	 16200
 333.489	 16200
 333.491	 16200
 333.493	 16190
 333.496	 16190
 333.498	 16175
 333.500	 16190
 333.503	 16190
 333.505	 16190
 333.507	 16190
 333.510	 16190
 333.512	 16190
 333.514	 16190
 333.517	 16190
 333.519	 16200
 333.521	 16200
 333.524	 16200
 333.526	 16200
 333.529	 16200
 333.531	 16200
 333.533	 16190
 333.536	 16190
 333.538	 16190
 333.540	 16190
 333.543	 16200
 333.545	 16200
 333.547	 16200
 333.550	 16200
 333.552	 16200
 333.554	 16200
 333.557	 16190
 333.559	 16190
 333.561	 16200
 333.564	 16190
 333.566	 16190
 333.568	 16190
 333.571	 16190
 333.573	 16190
 333.575	 16190
 333.578	 16200
 333.580	 16200
 333.582	 16215
 333.585	 16215
 333.587	 16190
 333.589	 16215
 333.592	 16215
 333.594	 16215
 333.596	 16200
 333.599	 16215
 333.601	 16200
 333.604	 16200
 333.606	 16200
 333.608	 16200
 333.611	 16190
 333.613	 16215
 333.615	 16200
 333.618	 16215
 333.620	 16215
 333.622	 16215
