field	5.spe
 332.000	
 332.002	 16080
 332.005	 16080
 332.007	 16080
 332.009	 16095
 332.012	 16095
 332.014	 16095
 332.016	 16095
 332.019	 16095
 332.021	 16110
 332.023	 16110
 332.026	 16110
 332.028	 16110
 332.030	 16110
 332.033	 16110
 332.035	 16095
 332.038	 16110
 332.040	 16110
 332.042	 16110
 332.045	 16135
 332.047	 16135
 332.049	 16120
 332.052	 16110
 332.054	 16120
 332.056	 16110
 332.059	 16110
 332.061	 16110
 332.063	 16110
 332.066	 16110
 332.068	 16110
 332.070	 16110
 332.073	 16110
 332.075	 16110
 332.077	 16110
 332.080	 16095
 332.082	 16110
 332.084	 16095
 332.087	 16080
 332.089	 16080
 332.091	 16095
 332.094	 16095
 332.096	 16095
 332.098	 16095
 332.101	 16095
 332.103	 16095
 332.105	 16095
 332.108	 16095
 332.110	 16095
 332.113	 16095
 332.115	 16080
 332.117	 16080
 332.120	 16080
 332.122	 16080
 332.124	 16080
 332.127	 16080
 332.129	 16080
 332.131	 16080
 332.134	 16080
 332.136	 16095
 332.138	 16080
 332.141	 16080
 332.143	 16080
 332.145	 16080
 332.148	 16080
 332.150	 16080
 332.152	 16080
 332.155	 16080
 332.157	 16080
 332.159	 16080
 332.162	 16095
 332.164	 16095
 332.166	 16095
 332.169	 16095
 332.171	 16110
 332.173	 16110
 332.176	 16110
 332.178	 16110
 332.181	 16110
 332.183	 16120
 332.185	 16120
 332.188	 16120
 332.190	 16120
 332.192	 16110
 332.195	 16110
 332.197	 16110
 332.199	 16110
 332.202	 16095
 332.204	 16120
 332.206	 16120
 332.209	 16120
 332.211	 16110
 332.213	 16110
 332.216	 16110
 332.218	 16095
 332.220	 16120
 332.223	 16095
 332.225	 16110
 332.227	 16095
 332.230	 16095
 332.232	 16095
 332.234	 16095
 332.237	 16095
 332.239	 16095
 332.241	 16095
 332.244	 16095
 332.246	 16095
 332.249	 16095
 332.251	 16095
 332.253	 16110
 332.256	 16095
 332.258	 16110
 332.260	 16120
 332.263	 16095
 332.265	 16095
 332.267	 16095
 332.270	 16095
 332.272	 16080
 332.274	 16095
 332.277	 16080
 332.279	 16095
 332.281	 16080
 332.284	 16095
 332.286	 16095
 332.288	 16095
 332.291	 16080
 332.293	 16080
 332.295	 16080
 332.298	 16080
 332.300	 16080
 332.302	 16080
 332.305	 16080
 332.307	 16070
 332.309	 16095
 332.312	 16080
 332.314	 16080
 332.316	 16095
 332.319	 16080
 332.321	 16095
 332.324	 16080
 332.326	 16080
 332.328	 16080
 332.331	 16080
 332.333	 16080
 332.335	 16080
 332.338	 16080
 332.340	 16080
 332.342	 16080
 332.345	 16070
 332.347	 16080
 332.349	 16080
 332.352	 16080
 332.354	 16080
 332.356	 16080
 332.359	 16080
 332.361	 16095
 332.363	 16095
 332.366	 16095
 332.368	 16095
 332.370	 16080
 332.373	 16095
 332.375	 16110
 332.377	 16095
 332.380	 16095
 332.382	 16095
 332.384	 16095
 332.387	 16095
 332.389	 16110
 332.392	 16095
 332.394	 16095
 332.396	 16095
 332.399	 16095
 332.401	 16095
 332.403	 16095
 332.406	 16110
 332.408	 16110
 332.410	 16110
 332.413	 16110
 332.415	 16110
 332.417	 16110
 332.420	 16110
 332.422	 16120
 332.424	 16120
 332.427	 16110
 332.429	 16110
 332.431	 16110
 332.434	 16095
 332.436	 16110
 332.438	 16120
 332.441	 16120
 332.443	 16120
 332.445	 16110
 332.448	 16110
 332.450	 16095
 332.452	 16095
 332.455	 16095
 332.457	 16095
 332.459	 16095
 332.462	 16095
 332.464	 16070
 332.467	 16080
 332.469	 16095
 332.471	 16095
 332.474	 16070
 332.476	 16080
 332.478	 16080
 332.481	 16080
 332.483	 16080
 332.485	 16080
 332.488	 16080
 332.490	 16095
 332.492	 16095
 332.495	 16080
 332.497	 16080
 332.499	 16080
 332.502	 16095
 332.504	 16070
 332.506	 16080
 332.509	 16095
 332.511	 16095
 332.513	 16095
 332.516	 16095
 332.518	 16070
 332.520	 16080
 332.523	 16095
 332.525	 16080
 332.527	 16080
 332.530	 16080
 332.532	 16080
 332.535	 16095
 332.537	 16080
 332.539	 16095
 332.542	 16095
 332.544	 16095
 332.546	 16110
 332.549	 16095
 332.551	 16095
 332.553	 16095
 332.556	 16080
 332.558	 16080
 332.560	 16095
 332.563	 16080
 332.565	 16080
 332.567	 16110
 332.570	 16110
 332.572	 16095
 332.574	 16080
 332.577	 16080
 332.579	 16110
 332.581	 16110
 332.584	 16110
 332.586	 16110
 332.588	 16110
 332.591	 16110
 332.593	 16095
 332.595	 16120
 332.598	 16110
 332.600	 16110
 332.602	 16110
 332.605	 16110
 332.607	 16110
 332.610	 16095
 332.612	 16095
 332.614	 16110
 332.617	 16120
 332.619	 16120
 332.621	 16120
 332.624	 16120
 332.626	 16110
 332.628	 16110
 332.631	 16110
 332.633	 16110
 332.635	 16110
 332.638	 16110
 332.640	 16110
 332.642	 16095
 332.645	 16110
 332.647	 16095
 332.649	 16095
 332.652	 16110
 332.654	 16110
 332.656	 16095
 332.659	 16095
 332.661	 16110
 332.663	 16120
 332.666	 16120
 332.668	 16120
 332.670	 16135
 332.673	 16120
 332.675	 16120
 332.678	 16120
 332.680	 16135
 332.682	 16135
 332.685	 16135
 332.687	 16135
 332.689	 16135
 332.692	 16120
 332.694	 16110
 332.696	 16120
 332.699	 16110
 332.701	 16110
 332.703	 16110
 332.706	 16110
 332.708	 16120
 332.710	 16135
 332.713	 16135
 332.715	 16135
 332.717	 16135
 332.720	 16135
 332.722	 16120
 332.724	 16120
 332.727	 16135
 332.729	 16135
 332.731	 16135
 332.734	 16120
 332.736	 16120
 332.738	 16135
 332.741	 16135
 332.743	 16120
 332.745	 16120
 332.748	 16135
 332.750	 16135
 332.753	 16120
 332.755	 16120
 332.757	 16135
 332.760	 16135
 332.762	 16150
 332.764	 16150
 332.767	 16150
 332.769	 16135
 332.771	 16135
 332.774	 16135
 332.776	 16150
 332.778	 16135
 332.781	 16135
 332.783	 16135
 332.785	 16135
 332.788	 16150
 332.790	 16150
 332.792	 16150
 332.795	 16120
 332.797	 16135
 332.799	 16120
 332.802	 16120
 332.804	 16120
 332.806	 16110
 332.809	 16120
 332.811	 16120
 332.813	 16135
 332.816	 16120
 332.818	 16120
 332.821	 16110
 332.823	 16110
 332.825	 16110
 332.828	 16110
 332.830	 16110
 332.832	 16110
 332.835	 16110
 332.837	 16120
 332.839	 16120
 332.842	 16120
 332.844	 16120
 332.846	 16120
 332.849	 16120
 332.851	 16120
 332.853	 16120
 332.856	 16120
 332.858	 16120
 332.860	 16110
 332.863	 16110
 332.865	 16095
 332.867	 16120
 332.870	 16120
 332.872	 16120
 332.874	 16120
 332.877	 16135
 332.879	 16150
 332.881	 16135
 332.884	 16135
 332.886	 16150
 332.889	 16150
 332.891	 16150
 332.893	 16135
 332.896	 16135
 332.898	 16135
 332.900	 16120
 332.903	 16120
 332.905	 16120
 332.907	 16135
 332.910	 16150
 332.912	 16120
 332.914	 16110
 332.917	 16095
 332.919	 16110
 332.921	 16095
 332.924	 16110
 332.926	 16110
 332.928	 16095
 332.931	 16095
 332.933	 16095
 332.935	 16110
 332.938	 16110
 332.940	 16110
 332.942	 16110
 332.945	 16110
 332.947	 16110
 332.949	 16110
 332.952	 16110
 332.954	 16110
 332.956	 16110
 332.959	 16120
 332.961	 16135
 332.964	 16135
 332.966	 16135
 332.968	 16135
