field	3.spe
 332.000	
 332.002	 16120
 332.005	 16120
 332.007	 16120
 332.009	 16120
 332.012	 16120
 332.014	 16135
 332.016	 16110
 332.019	 16120
 332.021	 16120
 332.023	 16120
 332.026	 16120
 332.028	 16120
 332.030	 16120
 332.033	 16120
 332.035	 16110
 332.038	 16120
 332.040	 16110
 332.042	 16110
 332.045	 16110
 332.047	 16120
 332.049	 16120
 332.052	 16120
 332.054	 16120
 332.056	 16110
 332.059	 16110
 332.061	 16120
 332.063	 16110
 332.066	 16110
 332.068	 16120
 332.070	 16120
 332.073	 16135
 332.075	 16120
 332.077	 16120
 332.080	 16110
 332.082	 16110
 332.084	 16120
 332.087	 16135
 332.089	 16120
 332.091	 16110
 332.094	 16110
 332.096	 16110
 332.098	 16095
 332.101	 16095
 332.103	 16095
 332.105	 16110
 332.108	 16110
 332.110	 16110
 332.113	 16095
 332.115	 16095
 332.117	 16095
 332.120	 16095
 332.122	 16110
 332.124	 16095
 332.127	 16095
 332.129	 16110
 332.131	 16110
 332.134	 16110
 332.136	 16110
 332.138	 16110
 332.141	 16095
 332.143	 16110
 332.145	 16110
 332.148	 16095
 332.150	 16110
 332.152	 16110
 332.155	 16110
 332.157	 16110
 332.159	 16120
 332.162	 16120
 332.164	 16120
 332.166	 16120
 332.169	 16120
 332.171	 16120
 332.173	 16120
 332.176	 16120
 332.178	 16110
 332.181	 16110
 332.183	 16110
 332.185	 16110
 332.188	 16110
 332.190	 16110
 332.192	 16095
 332.195	 16110
 332.197	 16110
 332.199	 16110
 332.202	 16120
 332.204	 16120
 332.206	 16120
 332.209	 16110
 332.211	 16110
 332.213	 16120
 332.216	 16110
 332.218	 16110
 332.220	 16110
 332.223	 16110
 332.225	 16110
 332.227	 16120
 332.230	 16110
 332.232	 16110
 332.234	 16110
 332.237	 16110
 332.239	 16120
 332.241	 16110
 332.244	 16110
 332.246	 16110
 332.249	 16095
 332.251	 16095
 332.253	 16095
 332.256	 16095
 332.258	 16095
 332.260	 16110
 332.263	 16110
