field	4.spe
 332.000	
 332.002	 16110
 332.005	 16110
 332.007	 16120
 332.009	 16120
 332.012	 16110
 332.014	 16095
 332.016	 16080
 332.019	 16095
 332.021	 16080
 332.023	 16080
 332.026	 16080
 332.028	 16095
 332.030	 16110
 332.033	 16110
 332.035	 16110
 332.038	 16095
 332.040	 16095
 332.042	 16120
 332.045	 16120
 332.047	 16135
 332.049	 16120
 332.052	 16095
 332.054	 16095
 332.056	 16110
 332.059	 16120
 332.061	 16120
 332.063	 16120
 332.066	 16120
 332.068	 16120
 332.070	 16120
 332.073	 16120
 332.075	 16120
 332.077	 16110
 332.080	 16110
 332.082	 16110
 332.084	 16110
 332.087	 16120
 332.089	 16135
 332.091	 16120
 332.094	 16120
 332.096	 16120
 332.098	 16120
 332.101	 16120
 332.103	 16110
 332.105	 16110
 332.108	 16110
 332.110	 16110
 332.113	 16110
 332.115	 16110
 332.117	 16110
 332.120	 16135
 332.122	 16120
 332.124	 16120
 332.127	 16120
 332.129	 16135
 332.131	 16135
 332.134	 16110
 332.136	 16110
 332.138	 16110
 332.141	 16110
 332.143	 16110
 332.145	 16110
 332.148	 16110
 332.150	 16110
 332.152	 16110
 332.155	 16110
 332.157	 16110
 332.159	 16110
 332.162	 16095
 332.164	 16110
 332.166	 16110
 332.169	 16110
 332.171	 16095
 332.173	 16110
 332.176	 16110
 332.178	 16110
 332.181	 16095
 332.183	 16110
 332.185	 16095
 332.188	 16120
 332.190	 16120
 332.192	 16110
 332.195	 16095
 332.197	 16110
 332.199	 16110
 332.202	 16095
 332.204	 16095
 332.206	 16095
 332.209	 16095
 332.211	 16095
 332.213	 16095
 332.216	 16095
 332.218	 16095
 332.220	 16095
 332.223	 16095
 332.225	 16095
 332.227	 16095
 332.230	 16095
 332.232	 16095
 332.234	 16095
 332.237	 16080
 332.239	 16080
 332.241	 16095
 332.244	 16080
 332.246	 16080
 332.249	 16080
 332.251	 16095
 332.253	 16080
 332.256	 16080
 332.258	 16080
 332.260	 16080
 332.263	 16095
 332.265	 16095
 332.267	 16095
 332.270	 16095
 332.272	 16095
 332.274	 16095
 332.277	 16095
 332.279	 16095
 332.281	 16095
 332.284	 16080
 332.286	 16095
 332.288	 16095
 332.291	 16095
 332.293	 16095
 332.295	 16080
 332.298	 16095
 332.300	 16095
 332.302	 16095
 332.305	 16095
 332.307	 16095
 332.309	 16110
 332.312	 16110
 332.314	 16110
 332.316	 16095
 332.319	 16095
 332.321	 16095
 332.324	 16095
 332.326	 16095
 332.328	 16095
 332.331	 16095
 332.333	 16095
 332.335	 16095
 332.338	 16080
 332.340	 16070
 332.342	 16080
 332.345	 16080
 332.347	 16080
 332.349	 16110
 332.352	 16120
 332.354	 16110
 332.356	 16095
 332.359	 16110
 332.361	 16095
 332.363	 16095
 332.366	 16110
 332.368	 16095
 332.370	 16095
 332.373	 16095
 332.375	 16110
 332.377	 16110
 332.380	 16110
 332.382	 16110
 332.384	 16095
 332.387	 16095
 332.389	 16095
 332.392	 16095
 332.394	 16110
 332.396	 16110
 332.399	 16110
 332.401	 16110
 332.403	 16110
 332.406	 16110
 332.408	 16110
 332.410	 16110
 332.413	 16110
 332.415	 16110
 332.417	 16110
 332.420	 16110
 332.422	 16110
 332.424	 16110
 332.427	 16120
 332.429	 16110
 332.431	 16110
 332.434	 16120
 332.436	 16120
 332.438	 16120
 332.441	 16135
 332.443	 16120
 332.445	 16120
 332.448	 16120
 332.450	 16120
 332.452	 16120
 332.455	 16135
 332.457	 16120
 332.459	 16120
 332.462	 16135
 332.464	 16120
 332.467	 16135
 332.469	 16135
 332.471	 16135
 332.474	 16135
 332.476	 16135
 332.478	 16135
 332.481	 16120
 332.483	 16120
 332.485	 16135
 332.488	 16120
 332.490	 16120
 332.492	 16120
 332.495	 16120
 332.497	 16120
 332.499	 16135
 332.502	 16135
 332.504	 16135
 332.506	 16150
 332.509	 16150
 332.511	 16150
 332.513	 16150
 332.516	 16150
 332.518	 16120
 332.520	 16135
 332.523	 16135
 332.525	 16135
 332.527	 16120
 332.530	 16120
 332.532	 16135
 332.535	 16120
 332.537	 16120
 332.539	 16120
 332.542	 16120
 332.544	 16120
 332.546	 16135
 332.549	 16120
 332.551	 16120
 332.553	 16120
 332.556	 16120
 332.558	 16135
 332.560	 16135
 332.563	 16135
 332.565	 16135
 332.567	 16135
 332.570	 16120
 332.572	 16120
 332.574	 16120
 332.577	 16120
 332.579	 16135
 332.581	 16120
 332.584	 16120
 332.586	 16120
 332.588	 16120
 332.591	 16120
 332.593	 16120
 332.595	 16120
 332.598	 16120
 332.600	 16135
 332.602	 16135
 332.605	 16120
 332.607	 16120
 332.610	 16120
 332.612	 16110
 332.614	 16120
 332.617	 16120
 332.619	 16120
 332.621	 16120
 332.624	 16110
 332.626	 16120
 332.628	 16120
 332.631	 16120
 332.633	 16135
 332.635	 16120
 332.638	 16110
 332.640	 16135
 332.642	 16135
 332.645	 16150
 332.647	 16135
 332.649	 16135
 332.652	 16150
 332.654	 16135
 332.656	 16135
 332.659	 16135
 332.661	 16135
 332.663	 16135
 332.666	 16135
 332.668	 16135
 332.670	 16135
 332.673	 16135
 332.675	 16135
 332.678	 16135
 332.680	 16120
 332.682	 16120
 332.685	 16120
 332.687	 16120
 332.689	 16135
