field	6.spe
 332.000	
 332.002	 16110
 332.005	 16110
 332.007	 16095
 332.009	 16110
 332.012	 16110
 332.014	 16110
 332.016	 16110
 332.019	 16110
 332.021	 16095
 332.023	 16095
 332.026	 16095
 332.028	 16095
 332.030	 16080
 332.033	 16095
 332.035	 16095
 332.038	 16110
 332.040	 16110
 332.042	 16095
 332.045	 16095
 332.047	 16095
 332.049	 16095
 332.052	 16095
 332.054	 16095
 332.056	 16095
 332.059	 16095
 332.061	 16095
 332.063	 16095
 332.066	 16095
 332.068	 16095
 332.070	 16110
 332.073	 16110
 332.075	 16110
 332.077	 16110
 332.080	 16080
 332.082	 16080
 332.084	 16095
 332.087	 16080
 332.089	 16070
 332.091	 16070
 332.094	 16070
 332.096	 16070
 332.098	 16070
 332.101	 16095
 332.103	 16095
 332.105	 16095
 332.108	 16095
 332.110	 16095
 332.113	 16095
 332.115	 16110
 332.117	 16080
 332.120	 16095
 332.122	 16095
 332.124	 16095
 332.127	 16095
 332.129	 16095
 332.131	 16095
 332.134	 16095
 332.136	 16095
 332.138	 16095
 332.141	 16095
 332.143	 16095
 332.145	 16080
 332.148	 16080
 332.150	 16095
 332.152	 16070
 332.155	 16080
 332.157	 16080
 332.159	 16080
 332.162	 16080
 332.164	 16080
 332.166	 16080
 332.169	 16080
 332.171	 16070
 332.173	 16080
 332.176	 16080
 332.178	 16080
 332.181	 16080
 332.183	 16080
 332.185	 16095
 332.188	 16095
 332.190	 16110
 332.192	 16095
 332.195	 16080
 332.197	 16110
 332.199	 16080
 332.202	 16080
 332.204	 16080
 332.206	 16095
 332.209	 16080
 332.211	 16095
 332.213	 16110
 332.216	 16110
 332.218	 16120
 332.220	 16110
 332.223	 16110
 332.225	 16095
 332.227	 16095
 332.230	 16095
 332.232	 16095
 332.234	 16095
 332.237	 16095
 332.239	 16095
 332.241	 16095
 332.244	 16095
 332.246	 16095
 332.249	 16095
 332.251	 16095
 332.253	 16095
 332.256	 16095
 332.258	 16080
 332.260	 16095
 332.263	 16110
 332.265	 16080
 332.267	 16095
 332.270	 16095
 332.272	 16095
 332.274	 16095
 332.277	 16110
 332.279	 16110
 332.281	 16110
 332.284	 16095
 332.286	 16080
 332.288	 16095
 332.291	 16095
 332.293	 16095
 332.295	 16095
 332.298	 16095
 332.300	 16095
 332.302	 16095
 332.305	 16080
 332.307	 16080
 332.309	 16080
 332.312	 16080
 332.314	 16080
 332.316	 16095
 332.319	 16095
 332.321	 16095
 332.324	 16095
 332.326	 16095
 332.328	 16095
 332.331	 16095
 332.333	 16095
 332.335	 16095
 332.338	 16110
 332.340	 16110
 332.342	 16110
 332.345	 16110
 332.347	 16110
 332.349	 16095
 332.352	 16080
 332.354	 16080
 332.356	 16095
 332.359	 16095
 332.361	 16080
 332.363	 16095
 332.366	 16095
 332.368	 16110
 332.370	 16110
 332.373	 16110
 332.375	 16110
 332.377	 16120
 332.380	 16120
 332.382	 16120
 332.384	 16120
 332.387	 16095
 332.389	 16120
 332.392	 16110
 332.394	 16095
 332.396	 16095
 332.399	 16095
 332.401	 16110
 332.403	 16110
 332.406	 16095
 332.408	 16095
 332.410	 16095
 332.413	 16095
 332.415	 16110
 332.417	 16095
 332.420	 16095
 332.422	 16095
 332.424	 16080
 332.427	 16080
 332.429	 16080
 332.431	 16095
 332.434	 16080
 332.436	 16095
 332.438	 16080
 332.441	 16080
 332.443	 16080
 332.445	 16095
 332.448	 16095
 332.450	 16095
 332.452	 16080
 332.455	 16095
 332.457	 16110
 332.459	 16110
 332.462	 16110
 332.464	 16110
 332.467	 16120
 332.469	 16120
 332.471	 16120
 332.474	 16120
 332.476	 16110
 332.478	 16110
 332.481	 16120
 332.483	 16110
 332.485	 16110
 332.488	 16135
 332.490	 16135
 332.492	 16110
 332.495	 16120
 332.497	 16110
 332.499	 16120
 332.502	 16095
 332.504	 16095
 332.506	 16095
 332.509	 16110
 332.511	 16110
 332.513	 16120
 332.516	 16110
 332.518	 16110
 332.520	 16110
 332.523	 16110
 332.525	 16110
 332.527	 16110
 332.530	 16095
 332.532	 16095
 332.535	 16095
 332.537	 16095
 332.539	 16095
 332.542	 16110
 332.544	 16110
 332.546	 16110
 332.549	 16120
 332.551	 16120
 332.553	 16135
 332.556	 16120
 332.558	 16120
 332.560	 16120
 332.563	 16135
 332.565	 16120
 332.567	 16135
 332.570	 16110
 332.572	 16110
 332.574	 16120
 332.577	 16120
 332.579	 16120
 332.581	 16120
 332.584	 16120
 332.586	 16120
 332.588	 16120
 332.591	 16120
 332.593	 16120
 332.595	 16120
 332.598	 16110
 332.600	 16110
 332.602	 16120
 332.605	 16135
 332.607	 16135
 332.610	 16120
 332.612	 16135
 332.614	 16150
 332.617	 16150
 332.619	 16150
 332.621	 16150
 332.624	 16160
 332.626	 16160
 332.628	 16150
 332.631	 16150
 332.633	 16160
 332.635	 16160
 332.638	 16160
 332.640	 16135
 332.642	 16135
 332.645	 16150
 332.647	 16135
 332.649	 16135
 332.652	 16150
 332.654	 16150
 332.656	 16150
 332.659	 16135
 332.661	 16150
 332.663	 16150
 332.666	 16135
 332.668	 16150
 332.670	 16150
 332.673	 16150
 332.675	 16135
 332.678	 16135
 332.680	 16160
 332.682	 16175
 332.685	 16150
 332.687	 16135
 332.689	 16150
