field	7.spe
 332.000	
 332.002	 16110
 332.005	 16110
 332.007	 16110
 332.009	 16110
 332.012	 16110
 332.014	 16110
 332.016	 16110
 332.019	 16110
 332.021	 16095
 332.023	 16080
 332.026	 16080
 332.028	 16080
 332.030	 16080
 332.033	 16080
 332.035	 16080
 332.038	 16080
 332.040	 16080
 332.042	 16080
 332.045	 16095
 332.047	 16095
 332.049	 16080
 332.052	 16080
 332.054	 16080
 332.056	 16095
 332.059	 16095
 332.061	 16095
 332.063	 16095
 332.066	 16110
 332.068	 16110
 332.070	 16110
 332.073	 16120
 332.075	 16120
 332.077	 16120
 332.080	 16120
 332.082	 16120
 332.084	 16120
 332.087	 16120
 332.089	 16120
 332.091	 16135
 332.094	 16135
 332.096	 16135
 332.098	 16120
 332.101	 16120
 332.103	 16110
 332.105	 16110
 332.108	 16110
 332.110	 16110
 332.113	 16110
 332.115	 16110
 332.117	 16110
 332.120	 16110
 332.122	 16095
 332.124	 16095
 332.127	 16095
 332.129	 16095
 332.131	 16095
 332.134	 16095
 332.136	 16095
 332.138	 16110
 332.141	 16095
 332.143	 16110
 332.145	 16110
 332.148	 16095
 332.150	 16095
 332.152	 16080
 332.155	 16095
 332.157	 16110
 332.159	 16095
 332.162	 16095
 332.164	 16110
 332.166	 16110
 332.169	 16095
 332.171	 16095
 332.173	 16095
 332.176	 16095
 332.178	 16080
 332.181	 16095
 332.183	 16095
 332.185	 16080
 332.188	 16095
 332.190	 16080
 332.192	 16095
 332.195	 16095
 332.197	 16110
 332.199	 16110
 332.202	 16110
 332.204	 16110
 332.206	 16095
 332.209	 16095
 332.211	 16095
 332.213	 16095
 332.216	 16095
 332.218	 16095
 332.220	 16095
 332.223	 16095
 332.225	 16080
 332.227	 16080
 332.230	 16080
 332.232	 16080
 332.234	 16080
 332.237	 16080
 332.239	 16080
 332.241	 16080
 332.244	 16080
 332.246	 16095
 332.249	 16080
 332.251	 16095
 332.253	 16110
 332.256	 16120
 332.258	 16095
 332.260	 16095
 332.263	 16120
 332.265	 16110
 332.267	 16095
 332.270	 16110
 332.272	 16120
 332.274	 16120
 332.277	 16120
 332.279	 16110
 332.281	 16135
 332.284	 16120
 332.286	 16120
 332.288	 16120
 332.291	 16120
 332.293	 16120
 332.295	 16120
 332.298	 16110
 332.300	 16110
 332.302	 16110
 332.305	 16095
 332.307	 16095
 332.309	 16095
 332.312	 16110
 332.314	 16110
 332.316	 16110
 332.319	 16095
 332.321	 16080
 332.324	 16095
 332.326	 16110
 332.328	 16080
 332.331	 16110
 332.333	 16095
 332.335	 16095
 332.338	 16080
 332.340	 16095
 332.342	 16095
 332.345	 16095
 332.347	 16095
 332.349	 16095
 332.352	 16095
 332.354	 16095
 332.356	 16095
 332.359	 16080
 332.361	 16080
 332.363	 16095
 332.366	 16095
 332.368	 16095
 332.370	 16095
 332.373	 16080
 332.375	 16080
 332.377	 16095
 332.380	 16095
 332.382	 16095
 332.384	 16095
 332.387	 16095
 332.389	 16095
 332.392	 16095
 332.394	 16095
 332.396	 16095
 332.399	 16095
 332.401	 16095
 332.403	 16095
 332.406	 16080
 332.408	 16080
 332.410	 16095
 332.413	 16095
 332.415	 16110
 332.417	 16110
 332.420	 16095
 332.422	 16110
 332.424	 16110
 332.427	 16110
 332.429	 16110
 332.431	 16110
 332.434	 16095
 332.436	 16120
 332.438	 16110
 332.441	 16110
 332.443	 16110
 332.445	 16110
 332.448	 16110
 332.450	 16110
 332.452	 16110
 332.455	 16095
 332.457	 16110
 332.459	 16095
 332.462	 16095
 332.464	 16095
 332.467	 16095
 332.469	 16095
 332.471	 16095
 332.474	 16080
 332.476	 16080
 332.478	 16080
 332.481	 16110
 332.483	 16095
 332.485	 16095
 332.488	 16110
 332.490	 16110
 332.492	 16110
 332.495	 16110
 332.497	 16120
 332.499	 16120
 332.502	 16110
 332.504	 16120
 332.506	 16120
 332.509	 16120
 332.511	 16120
 332.513	 16120
 332.516	 16120
 332.518	 16120
 332.520	 16135
 332.523	 16135
 332.525	 16150
 332.527	 16135
 332.530	 16135
 332.532	 16150
 332.535	 16135
 332.537	 16135
 332.539	 16150
 332.542	 16150
 332.544	 16135
 332.546	 16150
 332.549	 16150
 332.551	 16135
 332.553	 16135
 332.556	 16135
 332.558	 16135
 332.560	 16135
 332.563	 16135
 332.565	 16135
 332.567	 16120
 332.570	 16135
 332.572	 16135
 332.574	 16135
 332.577	 16135
 332.579	 16135
 332.581	 16120
 332.584	 16120
 332.586	 16120
 332.588	 16120
 332.591	 16135
 332.593	 16135
 332.595	 16135
 332.598	 16135
 332.600	 16135
 332.602	 16150
 332.605	 16150
 332.607	 16150
 332.610	 16150
 332.612	 16150
 332.614	 16135
 332.617	 16120
 332.619	 16110
 332.621	 16110
 332.624	 16120
 332.626	 16120
 332.628	 16120
 332.631	 16120
 332.633	 16135
 332.635	 16135
 332.638	 16135
 332.640	 16110
 332.642	 16110
 332.645	 16120
 332.647	 16120
 332.649	 16120
 332.652	 16120
 332.654	 16120
 332.656	 16120
 332.659	 16120
 332.661	 16120
 332.663	 16120
 332.666	 16110
 332.668	 16095
 332.670	 16110
 332.673	 16120
 332.675	 16120
 332.678	 16110
 332.680	 16110
 332.682	 16110
 332.685	 16110
 332.687	 16120
 332.689	 16120
